id,time,amount,price,side,slippage,volume,i
1,2021-04-02 09:00:00.424,60892500.0,60892.5,buy,0.0,1000.0,0
2,2021-04-02 09:01:00.299,60857500.0,60857.5,buy,0.0,1000.0,225
3,2021-04-02 09:02:00.318,60855000.0,60855.0,buy,0.0,1000.0,431
4,2021-04-02 09:03:00.146,60846000.0,60846.0,buy,0.0,1000.0,607
5,2021-04-02 09:04:00.253,60822000.0,60822.0,buy,0.0,1000.0,776
6,2021-04-02 09:05:00.042,60843000.0,60843.0,buy,0.0,1000.0,1017
7,2021-04-02 09:06:00.003,60804500.0,60804.5,buy,4.0,1000.0,1264
8,2021-04-02 09:07:00.028,60822405.0,60822.405,buy,0.40499999999883585,1000.0,1551
9,2021-04-02 09:08:00.273,60835195.0,60835.195,buy,0.19499999999970896,1000.0,1761
10,2021-04-02 09:09:00.203,60832000.0,60832.0,buy,0.0,1000.0,1903
11,2021-04-02 09:10:00.098,60850500.0,60850.5,buy,0.0,1000.0,2024
12,2021-04-02 09:11:00.416,60901750.0,60901.75,buy,0.25,1000.0,2151
13,2021-04-02 09:12:00.684,60879000.0,60879.0,buy,0.0,1000.0,2324
14,2021-04-02 09:13:00.094,60825000.0,60825.0,buy,0.0,1000.0,2522
15,2021-04-02 09:14:00.790,60816000.0,60816.0,buy,0.0,1000.0,2677
16,2021-04-02 09:15:00.097,60741750.0,60741.75,buy,0.25,1000.0,2930
17,2021-04-02 09:16:00.395,60760000.0,60760.0,buy,0.0,1000.0,3165
18,2021-04-02 09:17:00.088,60827925.0,60827.925,buy,0.4250000000029104,1000.0,3399
19,2021-04-02 09:18:00.041,60766500.0,60766.5,buy,0.0,1000.0,3573
20,2021-04-02 09:19:00.037,60776500.0,60776.5,buy,3.0,1000.0,3830
21,2021-04-02 09:20:00.080,60730755.0,60730.755,buy,0.25499999999738066,1000.0,3964
22,2021-04-02 09:21:00.189,60645000.0,60645.0,buy,0.0,1000.0,4237
23,2021-04-02 09:22:00.027,60741500.0,60741.5,buy,1.5,1000.0,4497
24,2021-04-02 09:23:00.690,60738500.0,60738.5,buy,0.0,1000.0,4717
25,2021-04-02 09:24:00.193,60750250.0,60750.25,buy,6.25,1000.0,4944
26,2021-04-02 09:25:00.488,60828500.0,60828.5,buy,0.0,1000.0,5200
27,2021-04-02 09:26:00.027,60826000.0,60826.0,buy,0.0,1000.0,5333
28,2021-04-02 09:27:00.296,60763250.0,60763.25,buy,0.25,1000.0,5652
29,2021-04-02 09:28:00.031,60795750.0,60795.75,buy,0.25,1000.0,5904
30,2021-04-02 09:29:00.099,60820250.0,60820.25,buy,0.25,1000.0,6110
31,2021-04-02 09:30:00.122,60833500.0,60833.5,buy,0.0,1000.0,6257
32,2021-04-02 09:31:00.673,60836000.0,60836.0,buy,0.0,1000.0,6431
33,2021-04-02 09:32:00.033,60830000.0,60830.0,buy,8.5,1000.0,6735
34,2021-04-02 09:33:01.145,60877720.0,60877.72,buy,0.22000000000116415,1000.0,6900
35,2021-04-02 09:34:00.293,60867000.0,60867.0,buy,0.0,1000.0,7124
36,2021-04-02 09:35:00.071,60929000.0,60929.0,buy,0.0,1000.0,7307
37,2021-04-02 09:36:00.268,60928000.0,60928.0,buy,0.0,1000.0,7514
38,2021-04-02 09:37:00.241,60931000.0,60931.0,buy,0.0,1000.0,7717
39,2021-04-02 09:38:00.780,60915500.0,60915.5,buy,0.0,1000.0,7900
40,2021-04-02 09:39:00.337,60940805.0,60940.805,buy,12.305000000000291,1000.0,8030
41,2021-04-02 09:40:00.476,60928945.0,60928.945,buy,0.44499999999970896,1000.0,8186
42,2021-04-02 09:41:00.090,60976400.0,60976.4,buy,0.4000000000014552,1000.0,8422
43,2021-04-02 09:42:00.810,61004500.0,61004.5,buy,0.0,1000.0,8631
44,2021-04-02 09:43:00.230,60973500.0,60973.5,buy,0.0,1000.0,8876
45,2021-04-02 09:44:00.245,60976500.0,60976.5,buy,0.0,1000.0,9106
46,2021-04-02 09:45:00.465,60975600.0,60975.6,buy,11.599999999998545,1000.0,9385
47,2021-04-02 09:46:00.112,60960000.0,60960.0,buy,0.0,1000.0,9604
48,2021-04-02 09:47:00.386,60984400.0,60984.4,buy,6.400000000001455,1000.0,9835
49,2021-04-02 09:48:00.054,61055900.0,61055.9,buy,0.4000000000014552,1000.0,10059
50,2021-04-02 09:49:00.018,61023000.0,61023.0,buy,0.0,1000.0,10241
51,2021-04-02 09:50:00.157,61042350.0,61042.35,buy,2.849999999998545,1000.0,10426
52,2021-04-02 09:51:00.394,61054300.0,61054.3,buy,14.80000000000291,1000.0,10594
53,2021-04-02 09:52:01.099,61039900.0,61039.9,buy,0.4000000000014552,1000.0,10735
54,2021-04-02 09:53:00.373,60993500.0,60993.5,buy,0.0,1000.0,10935
55,2021-04-02 09:54:01.699,61019500.0,61019.5,buy,0.0,1000.0,11056
56,2021-04-02 09:55:00.158,61015000.0,61015.0,buy,0.0,1000.0,11185
57,2021-04-02 09:56:00.347,60989000.0,60989.0,buy,0.0,1000.0,11319
58,2021-04-02 09:57:00.551,61020000.0,61020.0,buy,0.0,1000.0,11512
59,2021-04-02 09:58:00.482,61015500.0,61015.5,buy,0.0,1000.0,11632
60,2021-04-02 09:59:00.042,61015500.0,61015.5,buy,0.0,1000.0,11707
61,2021-04-02 10:00:00.465,61016355.0,61016.355,buy,0.8550000000032014,1000.0,11805
